PKO Bank Polski SA,14401084,Centrum Bankowości Detalicznej BIS 
PKO Bank Polski SA,14401097,Oddział 27 w Gdańsku 
PKO Bank Polski SA,14401101,Centrum Bankowości Detalicznej BIS 
PKO Bank Polski SA,14401127,Oddział 37 w Krakowie 
PKO Bank Polski SA,14401130,Centrum Bankowości Detalicznej - BIS 
PKO Bank Polski SA,14401143,Centrum Bankowości Detalicznej BIS 
PKO Bank Polski SA,14401156,Centrum Bankowości Detalicznej BIS 
PKO Bank Polski SA,14401169,Oddział 27 w Gdańsku 
PKO Bank Polski SA,14401172,Oddział 19 w Katowicach 
PKO Bank Polski SA,14401185,Oddział Internetowy 
PKO Bank Polski SA,14401198,Oddział 3 w Tczewie 
PKO Bank Polski SA,14401202,Oddział 2 w Żukowie 
PKO Bank Polski SA,14401215,Oddział 18 w Bydgoszczy 
PKO Bank Polski SA,14401228,Oddział 9 w Olsztynie 
PKO Bank Polski SA,14401231,Oddział 36 w Łodzi 
PKO Bank Polski SA,14401244,Oddział 3 w Pabianicach 
PKO Bank Polski SA,14401257,Centrum Bankowości Detalicznej BIS 
PKO Bank Polski SA,14401260,Departament Produktów Transakcyjnych i Finansowania Handlu - Płatności Masowe 8 
PKO Bank Polski SA,14401273,Oddział 11 w Lublinie 
PKO Bank Polski SA,14401286,Oddział 52 w Poznaniu 
PKO Bank Polski SA,14401299,Oddział 101 w Warszawie 
PKO Bank Polski SA,14401332,Centrum Bankowości Detalicznej BIS 
PKO Bank Polski SA,14401345,Oddział 27 w Gdańsku 
PKO Bank Polski SA,14401358,Centrum Bankowości Detalicznej - BIS 
PKO Bank Polski SA,14401361,SYSTEM MPS-MID-1 
PKO Bank Polski SA,14401387,PKOBP Centrum Bankowości Detalicznej - Oddział Główny 
PKO Bank Polski SA,14401390,Centrum Bankowości Detalicznej BIS 
Bank Handlowy w Warszawie SA,10300006,Centrala 
Bank Handlowy w Warszawie SA,10300019,Centrala - Sektor Bankowości Detalicznej 
Bank Handlowy w Warszawie SA,10300022,Centrala - Sektor Bankowości Detalicznej - Karty 
Bank Handlowy w Warszawie SA,10300035,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301016,I Oddział w Warszawie 
